"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"tpiA","","triose phosphate isomerase monomer","21","21","1","52","12494","","","","767","767","767","OH32Brunei_01203","OH5Pakistan_04701","O109H51Pakistan_04983","O16H48Indonesia_04000","O1H7Pakistan_04844","O1K1H7Korea_04955","O25H4Denmark_03894","O2K1H5China_02272","O2K1H5Korea_05088","O36H5Pakistan_04633","O76O8H9China_01806","O78H4Australia_02528","O78H4Korea_04947","O78H51Korea_04923","O78H9China_04097","O78H9HPVN24_04182","O78H9IMT2125UK_04273","O78US_00076","O82H8Thailand_01782","O8H25Laos_00363","O9H21China_04728"
"mntP","","manganese export protein","21","21","1","52","11556","","","","566","566","566","OH32Brunei_02001","OH5Pakistan_02055","O109H51Pakistan_02324","O16H48Indonesia_01874","O1H7Pakistan_02252","O1K1H7Korea_02327","O25H4Denmark_01810","O2K1H5China_04395","O2K1H5Korea_02459","O36H5Pakistan_02159","O76O8H9China_00516","O78H4Australia_04986","O78H4Korea_02174","O78H51Korea_02459","O78H9China_01488","O78H9HPVN24_01892","O78H9IMT2125UK_01926","O78US_02697","O82H8Thailand_04244","O8H25Laos_02794","O9H21China_02148"
"nuoI","","NADH:ubiquinone oxidoreductase, chain I","21","21","1","52","4811","","","","542","542","542","OH32Brunei_00219","OH5Pakistan_01528","O109H51Pakistan_01830","O16H48Indonesia_02336","O1H7Pakistan_01681","O1K1H7Korea_01786","O25H4Denmark_00289","O2K1H5China_00405","O2K1H5Korea_01807","O36H5Pakistan_01627","O76O8H9China_00046","O78H4Australia_00530","O78H4Korea_01591","O78H51Korea_03009","O78H9China_01877","O78H9HPVN24_02425","O78H9IMT2125UK_02432","O78US_03194","O82H8Thailand_03510","O8H25Laos_03278","O9H21China_01596"
"frmR","","regulator protein","21","21","1","52","8299","","","","275","275","275","OH32Brunei_01746","OH5Pakistan_03749","O109H51Pakistan_03984","O16H48Indonesia_00369","O1H7Pakistan_03789","O1K1H7Korea_03849","O25H4Denmark_00844","O2K1H5China_03329","O2K1H5Korea_03929","O36H5Pakistan_03729","O76O8H9China_01375","O78H4Australia_03631","O78H4Korea_03826","O78H51Korea_00898","O78H9China_03679","O78H9HPVN24_00409","O78H9IMT2125UK_00379","O78US_01118","O82H8Thailand_02497","O8H25Laos_01281","O9H21China_03741"
"group_10156","","hypothetical protein","21","21","1","52","2993","","","","206","206","206","OH32Brunei_00485","OH5Pakistan_04339","O109H51Pakistan_04642","O16H48Indonesia_04317","O1H7Pakistan_04404","O1K1H7Korea_04514","O25H4Denmark_02550","O2K1H5China_02748","O2K1H5Korea_04568","O36H5Pakistan_04292","O76O8H9China_04010","O78H4Australia_03017","O78H4Korea_04600","O78H51Korea_00267","O78H9China_00894","O78H9HPVN24_04558","O78H9IMT2125UK_04621","O78US_00446","O82H8Thailand_00448","O8H25Laos_00700","O9H21China_04359"
"uspA","","universal stress global stress response regulator","21","21","1","52","1660","","","","434","434","434","OH32Brunei_03158","OH5Pakistan_00278","O109H51Pakistan_00456","O16H48Indonesia_03541","O1H7Pakistan_00369","O1K1H7Korea_00248","O25H4Denmark_02326","O2K1H5China_01794","O2K1H5Korea_00280","O36H5Pakistan_00374","O76O8H9China_04666","O78H4Australia_01976","O78H4Korea_00353","O78H51Korea_04378","O78H9China_02531","O78H9HPVN24_03722","O78H9IMT2125UK_03797","O78US_04458","O82H8Thailand_03829","O8H25Laos_04557","O9H21China_00250"
"yciZ","","hypothetical protein","21","21","1","52","10349","","","","173","173","173","OH32Brunei_04867","OH5Pakistan_02623","O109H51Pakistan_02894","O16H48Indonesia_01327","O1H7Pakistan_02690","O1K1H7Korea_02767","O25H4Denmark_03612","O2K1H5China_04843","O2K1H5Korea_02904","O36H5Pakistan_02720","O76O8H9China_01970","O78H4Australia_04645","O78H4Korea_02763","O78H51Korea_01909","O78H9China_02116","O78H9HPVN24_01380","O78H9IMT2125UK_01401","O78US_02160","O82H8Thailand_00337","O8H25Laos_02225","O9H21China_02725"
"group_10159","","hypothetical protein","21","21","1","52","2071","","","","662","662","662","OH32Brunei_02893","OH5Pakistan_00764","O109H51Pakistan_00849","O16H48Indonesia_03156","O1H7Pakistan_00779","O1K1H7Korea_00657","O25H4Denmark_01339","O2K1H5China_01381","O2K1H5Korea_00687","O36H5Pakistan_00871","O76O8H9China_00853","O78H4Australia_01582","O78H4Korea_00742","O78H51Korea_03988","O78H9China_03100","O78H9HPVN24_03331","O78H9IMT2125UK_03401","O78US_04061","O82H8Thailand_03046","O8H25Laos_04167","O9H21China_00639"
"sspA","","stringent starvation protein A","21","21","1","52","1940","","","","638","638","638","OH32Brunei_03233","OH5Pakistan_00560","O109H51Pakistan_00714","O16H48Indonesia_03286","O1H7Pakistan_00658","O1K1H7Korea_00536","O25H4Denmark_01216","O2K1H5China_01502","O2K1H5Korea_00566","O36H5Pakistan_00644","O76O8H9China_00986","O78H4Australia_01709","O78H4Korea_00613","O78H51Korea_04121","O78H9China_02966","O78H9HPVN24_03466","O78H9IMT2125UK_03537","O78US_04194","O82H8Thailand_02913","O8H25Laos_04301","O9H21China_00507"
"ylaC","","putative inner membrane protein","21","21","1","52","8403","","","","470","470","470","OH32Brunei_01034","OH5Pakistan_03653","O109H51Pakistan_03888","O16H48Indonesia_00465","O1H7Pakistan_03694","O1K1H7Korea_03754","O25H4Denmark_00934","O2K1H5China_03423","O2K1H5Korea_03834","O36H5Pakistan_03630","O76O8H9China_04173","O78H4Australia_03731","O78H4Korea_03731","O78H51Korea_00995","O78H9China_02822","O78H9HPVN24_00506","O78H9IMT2125UK_00476","O78US_01215","O82H8Thailand_04088","O8H25Laos_01378","O9H21China_03644"
"pstC","","phosphate ABC transporter - membrane subunit","21","21","1","52","1117","","","","959","959","959","OH32Brunei_01533","OH5Pakistan_04955","O109H51Pakistan_05203","O16H48Indonesia_03796","O1H7Pakistan_05067","O1K1H7Korea_05205","O25H4Denmark_03160","O2K1H5China_02051","O2K1H5Korea_05354","O36H5Pakistan_04839","O76O8H9China_04837","O78H4Australia_02259","O78H4Korea_05171","O78H51Korea_04704","O78H9China_02592","O78H9HPVN24_03978","O78H9IMT2125UK_04056","O78US_04720","O82H8Thailand_04588","O8H25Laos_00146","O9H21China_04943"
"group_10163","","hypothetical protein","21","21","1","52","980","","","","269","269","269","OH32Brunei_01128","OH5Pakistan_04819","O109H51Pakistan_05060","O16H48Indonesia_03928","O1H7Pakistan_04910","O1K1H7Korea_05021","O25H4Denmark_04087","O2K1H5China_02205","O2K1H5Korea_05198","O36H5Pakistan_04705","O76O8H9China_02728","O78H4Australia_02416","O78H4Korea_05014","O78H51Korea_04847","O78H9China_04169","O78H9HPVN24_04107","O78H9IMT2125UK_04190","O78US_00003","O82H8Thailand_04642","O8H25Laos_00287","O9H21China_04803"
"mlaE","","phospholipid ABC transporter","21","21","1","52","1969","","","","782","782","782","OH32Brunei_02837","OH5Pakistan_00595","O109H51Pakistan_00744","O16H48Indonesia_03256","O1H7Pakistan_00686","O1K1H7Korea_00564","O25H4Denmark_01244","O2K1H5China_01474","O2K1H5Korea_00594","O36H5Pakistan_00680","O76O8H9China_00956","O78H4Australia_01679","O78H4Korea_00643","O78H51Korea_04091","O78H9China_02996","O78H9HPVN24_03436","O78H9IMT2125UK_03507","O78US_04164","O82H8Thailand_02943","O8H25Laos_04271","O9H21China_00537"
"rpoE","","RNA polymerase, sigma 24 (sigma E) factor","21","21","1","52","4395","","","","575","575","575","OH32Brunei_00968","OH5Pakistan_01244","O109H51Pakistan_01488","O16H48Indonesia_02627","O1H7Pakistan_01404","O1K1H7Korea_01407","O25H4Denmark_00016","O2K1H5China_00743","O2K1H5Korea_01426","O36H5Pakistan_01327","O76O8H9China_03012","O78H4Australia_00807","O78H4Korea_01316","O78H51Korea_03349","O78H9China_02193","O78H9HPVN24_02752","O78H9IMT2125UK_02727","O78US_03485","O82H8Thailand_03673","O8H25Laos_03602","O9H21China_01304"
"rplR","","50S ribosomal subunit protein L18","21","21","1","52","1871","","","","353","353","353","OH32Brunei_03964","OH5Pakistan_00479","O109H51Pakistan_00635","O16H48Indonesia_03365","O1H7Pakistan_00573","O1K1H7Korea_00451","O25H4Denmark_04411","O2K1H5China_01586","O2K1H5Korea_00482","O36H5Pakistan_00565","O76O8H9China_02917","O78H4Australia_01784","O78H4Korea_00538","O78H51Korea_04196","O78H9China_04732","O78H9HPVN24_03534","O78H9IMT2125UK_03607","O78US_04270","O82H8Thailand_03443","O8H25Laos_04377","O9H21China_00430"
"ilvN","","acetohydroxybutanoate synthase / acetolactate synthase","21","21","1","52","1185","","","","290","290","290","OH32Brunei_01592","OH5Pakistan_00078","O109H51Pakistan_00227","O16H48Indonesia_03736","O1H7Pakistan_00165","O1K1H7Korea_00031","O25H4Denmark_03213","O2K1H5China_01996","O2K1H5Korea_00032","O36H5Pakistan_00184","O76O8H9China_04779","O78H4Australia_02200","O78H4Korea_00032","O78H51Korea_04646","O78H9China_02651","O78H9HPVN24_03918","O78H9IMT2125UK_03996","O78US_04662","O82H8Thailand_04528","O8H25Laos_00084","O9H21China_00039"
"fldA","","Flavodoxin 1","21","21","1","52","9233","","","","530","530","530","OH32Brunei_01488","OH5Pakistan_03438","O109H51Pakistan_03616","O16H48Indonesia_00701","O1H7Pakistan_03489","O1K1H7Korea_03549","O25H4Denmark_01158","O2K1H5China_03627","O2K1H5Korea_03632","O36H5Pakistan_03403","O76O8H9China_02886","O78H4Australia_03932","O78H4Korea_03530","O78H51Korea_01265","O78H9China_03440","O78H9HPVN24_00722","O78H9IMT2125UK_00696","O78US_01458","O82H8Thailand_02004","O8H25Laos_01588","O9H21China_03371"
"ftsZ","","essential cell division protein FtsZ","21","21","1","52","7872","","","","1151","1151","1151","OH32Brunei_03007","OH5Pakistan_04078","O109H51Pakistan_04317","O16H48Indonesia_00095","O1H7Pakistan_04067","O1K1H7Korea_04128","O25H4Denmark_01872","O2K1H5China_03039","O2K1H5Korea_04192","O36H5Pakistan_04022","O76O8H9China_04402","O78H4Australia_03275","O78H4Korea_04205","O78H51Korea_00602","O78H9China_01310","O78H9HPVN24_00138","O78H9IMT2125UK_00105","O78US_00828","O82H8Thailand_00602","O8H25Laos_01000","O9H21China_04058"
"murA","","UDP-N-acetylglucosamine enolpyruvoyl transferase","21","21","1","52","1974","","","","1259","1259","1259","OH32Brunei_02832","OH5Pakistan_00600","O109H51Pakistan_00749","O16H48Indonesia_03251","O1H7Pakistan_00691","O1K1H7Korea_00569","O25H4Denmark_01249","O2K1H5China_01469","O2K1H5Korea_00599","O36H5Pakistan_00685","O76O8H9China_00951","O78H4Australia_01674","O78H4Korea_00648","O78H51Korea_04086","O78H9China_03001","O78H9HPVN24_03431","O78H9IMT2125UK_03502","O78US_04159","O82H8Thailand_02948","O8H25Laos_04266","O9H21China_00542"
"moaC","","MoaC monomer","21","21","1","52","9045","","","","485","485","485","OH32Brunei_00636","OH5Pakistan_03262","O109H51Pakistan_03448","O16H48Indonesia_00797","O1H7Pakistan_03399","O1K1H7Korea_03459","O25H4Denmark_03080","O2K1H5China_03716","O2K1H5Korea_03543","O36H5Pakistan_03234","O76O8H9China_02519","O78H4Australia_04136","O78H4Korea_03333","O78H51Korea_01365","O78H9China_00425","O78H9HPVN24_00857","O78H9IMT2125UK_00827","O78US_01595","O82H8Thailand_00239","O8H25Laos_01688","O9H21China_03270"
"yecS","","putative transporter subunit: membrane component of ABC superfamily protein","21","21","1","52","11923","","","","668","668","668","OH32Brunei_01884","OH5Pakistan_01923","O109H51Pakistan_02223","O16H48Indonesia_01974","O1H7Pakistan_02154","O1K1H7Korea_02228","O25H4Denmark_04243","O2K1H5China_04298","O2K1H5Korea_02293","O36H5Pakistan_02036","O76O8H9China_00416","O78H4Australia_04885","O78H4Korea_02057","O78H51Korea_02560","O78H9China_00095","O78H9HPVN24_01992","O78H9IMT2125UK_02030","O78US_02797","O82H8Thailand_01694","O8H25Laos_02896","O9H21China_02034"
"chbB","","chitobiose / cellobiose PTS permease - ChbB subunit","21","21","1","52","11464","","","","320","320","320","OH32Brunei_03678","OH5Pakistan_02142","O109H51Pakistan_02411","O16H48Indonesia_01797","O1H7Pakistan_02329","O1K1H7Korea_02404","O25H4Denmark_01731","O2K1H5China_04474","O2K1H5Korea_02536","O36H5Pakistan_02245","O76O8H9China_00592","O78H4Australia_05062","O78H4Korea_02252","O78H51Korea_02378","O78H9China_01564","O78H9HPVN24_01816","O78H9IMT2125UK_01850","O78US_02621","O82H8Thailand_04321","O8H25Laos_02716","O9H21China_02234"
"trxA","","Thioredoxin 1","21","21","1","52","1068","","","","329","329","329","OH32Brunei_02775","OH5Pakistan_04899","O109H51Pakistan_05145","O16H48Indonesia_03851","O1H7Pakistan_05014","O1K1H7Korea_05152","O25H4Denmark_03722","O2K1H5China_02105","O2K1H5Korea_05301","O36H5Pakistan_04785","O76O8H9China_01582","O78H4Australia_02316","O78H4Korea_05114","O78H51Korea_04764","O78H9China_04059","O78H9HPVN24_04033","O78H9IMT2125UK_04110","O78US_04779","O82H8Thailand_01489","O8H25Laos_00205","O9H21China_04885"
"ruvC","","Holliday junction nuclease; resolution of structures; repair","21","21","1","52","11612","","","","521","521","521","OH32Brunei_01955","OH5Pakistan_02008","O109H51Pakistan_02277","O16H48Indonesia_01920","O1H7Pakistan_02207","O1K1H7Korea_02281","O25H4Denmark_04563","O2K1H5China_04351","O2K1H5Korea_02413","O36H5Pakistan_02112","O76O8H9China_00470","O78H4Australia_04938","O78H4Korea_02126","O78H51Korea_02506","O78H9China_00041","O78H9HPVN24_01938","O78H9IMT2125UK_01976","O78US_02743","O82H8Thailand_01748","O8H25Laos_02841","O9H21China_02088"
"rlmB","","23S rRNA 2'-O-ribose methyltransferase monomer","21","21","1","52","3044","","","","731","731","731","OH32Brunei_00442","OH5Pakistan_04383","O109H51Pakistan_04686","O16H48Indonesia_04279","O1H7Pakistan_04449","O1K1H7Korea_04559","O25H4Denmark_02596","O2K1H5China_02699","O2K1H5Korea_04613","O36H5Pakistan_04336","O76O8H9China_03963","O78H4Australia_02967","O78H4Korea_04648","O78H51Korea_00222","O78H9China_00941","O78H9HPVN24_04511","O78H9IMT2125UK_04573","O78US_00399","O82H8Thailand_00493","O8H25Laos_00655","O9H21China_04399"
"infC","","protein chain initiation factor IF-3","21","21","1","52","11436","","","","434","434","434","OH32Brunei_03700","OH5Pakistan_02170","O109H51Pakistan_02433","O16H48Indonesia_01776","O1H7Pakistan_02348","O1K1H7Korea_02423","O25H4Denmark_01712","O2K1H5China_04493","O2K1H5Korea_02556","O36H5Pakistan_02268","O76O8H9China_00612","O78H4Australia_05082","O78H4Korea_02272","O78H51Korea_02356","O78H9China_01584","O78H9HPVN24_01795","O78H9IMT2125UK_01829","O78US_02601","O82H8Thailand_04341","O8H25Laos_02694","O9H21China_02254"
"rpmF","","50S ribosomal subunit protein L32","21","21","1","52","10127","","","","173","173","173","OH32Brunei_05081","OH5Pakistan_02832","O109H51Pakistan_03081","O16H48Indonesia_01119","O1H7Pakistan_03006","O1K1H7Korea_03082","O25H4Denmark_03521","O2K1H5China_04086","O2K1H5Korea_03226","O36H5Pakistan_02912","O76O8H9China_02155","O78H4Australia_04456","O78H4Korea_03019","O78H51Korea_01725","O78H9China_00763","O78H9HPVN24_01194","O78H9IMT2125UK_01210","O78US_01974","O82H8Thailand_01001","O8H25Laos_02037","O9H21China_02908"
"rpsQ","","30S ribosomal subunit protein S17","21","21","1","52","1864","","","","254","254","254","OH32Brunei_03957","OH5Pakistan_00472","O109H51Pakistan_00628","O16H48Indonesia_03372","O1H7Pakistan_00566","O1K1H7Korea_00444","O25H4Denmark_04404","O2K1H5China_01593","O2K1H5Korea_00475","O36H5Pakistan_00558","O76O8H9China_02910","O78H4Australia_01791","O78H4Korea_00531","O78H51Korea_04203","O78H9China_04725","O78H9HPVN24_03541","O78H9IMT2125UK_03614","O78US_04277","O82H8Thailand_03450","O8H25Laos_04384","O9H21China_00423"
"hha","","haemolysin expression modulating protein","21","21","1","52","8405","","","","218","218","218","OH32Brunei_01032","OH5Pakistan_03651","O109H51Pakistan_03886","O16H48Indonesia_00467","O1H7Pakistan_03692","O1K1H7Korea_03752","O25H4Denmark_00936","O2K1H5China_03425","O2K1H5Korea_03832","O36H5Pakistan_03628","O76O8H9China_04175","O78H4Australia_03733","O78H4Korea_03729","O78H51Korea_00997","O78H9China_02824","O78H9HPVN24_00508","O78H9IMT2125UK_00478","O78US_01217","O82H8Thailand_04086","O8H25Laos_01380","O9H21China_03642"
"slyD","","FKBP-type peptidyl prolyl cis-trans isomerase","21","21","1","52","1825","","","","590","590","590","OH32Brunei_05221","OH5Pakistan_00427","O109H51Pakistan_00604","O16H48Indonesia_03395","O1H7Pakistan_00528","O1K1H7Korea_00405","O25H4Denmark_02469","O2K1H5China_01635","O2K1H5Korea_00437","O36H5Pakistan_00520","O76O8H9China_04523","O78H4Australia_01829","O78H4Korea_00493","O78H51Korea_04227","O78H9China_02388","O78H9HPVN24_03579","O78H9IMT2125UK_03652","O78US_04315","O82H8Thailand_04655","O8H25Laos_04408","O9H21China_00399"
"group_10182","","hypothetical protein","21","21","1","52","8326","","","","320","320","320","OH32Brunei_01109","OH5Pakistan_03729","O109H51Pakistan_03964","O16H48Indonesia_00391","O1H7Pakistan_03768","O1K1H7Korea_03828","O25H4Denmark_00860","O2K1H5China_03349","O2K1H5Korea_03908","O36H5Pakistan_03709","O76O8H9China_04100","O78H4Australia_03656","O78H4Korea_03805","O78H51Korea_00918","O78H9China_02749","O78H9HPVN24_00432","O78H9IMT2125UK_00403","O78US_01142","O82H8Thailand_01931","O8H25Laos_01301","O9H21China_03721"
"cspA","","CspA DNA-binding transcriptional activator","21","21","1","52","1408","","","","212","212","212","OH32Brunei_03320","OH5Pakistan_00206","O109H51Pakistan_00379","O16H48Indonesia_03613","O1H7Pakistan_00288","O1K1H7Korea_00167","O25H4Denmark_02258","O2K1H5China_01873","O2K1H5Korea_00201","O36H5Pakistan_00300","O76O8H9China_01434","O78H4Australia_02070","O78H4Korea_00249","O78H51Korea_04458","O78H9China_03951","O78H9HPVN24_03795","O78H9IMT2125UK_03871","O78US_04538","O82H8Thailand_03103","O8H25Laos_04638","O9H21China_00165"
"yccJ","","putative protein","21","21","1","52","8758","","","","227","227","227","OH32Brunei_05166","OH5Pakistan_02965","O109H51Pakistan_03170","O16H48Indonesia_01027","O1H7Pakistan_03092","O1K1H7Korea_03168","O25H4Denmark_03276","O2K1H5China_03999","O2K1H5Korea_03313","O36H5Pakistan_02994","O76O8H9China_02244","O78H4Australia_04366","O78H4Korea_03107","O78H51Korea_01646","O78H9China_00674","O78H9HPVN24_01109","O78H9IMT2125UK_01119","O78US_01885","O82H8Thailand_04843","O8H25Laos_01957","O9H21China_02989"
"rpsS","","30S ribosomal subunit protein S19","21","21","1","52","1859","","","","278","278","278","OH32Brunei_03952","OH5Pakistan_00467","O109H51Pakistan_00623","O16H48Indonesia_03377","O1H7Pakistan_00561","O1K1H7Korea_00439","O25H4Denmark_04399","O2K1H5China_01598","O2K1H5Korea_00470","O36H5Pakistan_00553","O76O8H9China_02905","O78H4Australia_01796","O78H4Korea_00526","O78H51Korea_04208","O78H9China_04720","O78H9HPVN24_03546","O78H9IMT2125UK_03619","O78US_04282","O82H8Thailand_03455","O8H25Laos_04389","O9H21China_00418"
"asnC","","AsnC-L-asparagine","21","21","1","52","1097","","","","458","458","458","OH32Brunei_01516","OH5Pakistan_04938","O109H51Pakistan_05182","O16H48Indonesia_03813","O1H7Pakistan_05050","O1K1H7Korea_05188","O25H4Denmark_03143","O2K1H5China_02068","O2K1H5Korea_05337","O36H5Pakistan_04822","O76O8H9China_04858","O78H4Australia_02280","O78H4Korea_05150","O78H51Korea_04725","O78H9China_02571","O78H9HPVN24_04001","O78H9IMT2125UK_04077","O78US_04741","O82H8Thailand_03198","O8H25Laos_00167","O9H21China_04922"
"hda","","regulator of DnaA that prevents premature reinitiation of DNA replication","21","21","1","52","4539","","","","746","746","746","OH32Brunei_04085","OH5Pakistan_01329","O109H51Pakistan_01629","O16H48Indonesia_02543","O1H7Pakistan_01485","O1K1H7Korea_01538","O25H4Denmark_00098","O2K1H5China_00662","O2K1H5Korea_01561","O36H5Pakistan_01425","O76O8H9China_03147","O78H4Australia_00719","O78H4Korea_01404","O78H51Korea_03265","O78H9China_02277","O78H9HPVN24_02670","O78H9IMT2125UK_02643","O78US_03401","O82H8Thailand_01346","O8H25Laos_03518","O9H21China_01388"
"ygdI","","putative lipoprotein","21","21","1","52","2593","","","","227","227","227","OH32Brunei_02208","OH5Pakistan_01026","O109H51Pakistan_01268","O16H48Indonesia_02867","O1H7Pakistan_01189","O1K1H7Korea_01151","O25H4Denmark_00595","O2K1H5China_01030","O2K1H5Korea_01147","O36H5Pakistan_01091","O76O8H9China_03511","O78H4Australia_01020","O78H4Korea_01104","O78H51Korea_03577","O78H9China_03739","O78H9HPVN24_02964","O78H9IMT2125UK_03049","O78US_03711","O82H8Thailand_02361","O8H25Laos_03829","O9H21China_01078"
"csrA","","carbon storage regulator; pleiotropic regulatory protein for carbon source metabolism","21","21","1","52","2453","","","","185","185","185","OH32Brunei_02302","OH5Pakistan_01145","O109H51Pakistan_01390","O16H48Indonesia_02749","O1H7Pakistan_01304","O1K1H7Korea_01266","O25H4Denmark_00477","O2K1H5China_00914","O2K1H5Korea_01262","O36H5Pakistan_01211","O76O8H9China_01214","O78H4Australia_00898","O78H4Korea_01225","O78H51Korea_03461","O78H9China_03830","O78H9HPVN24_02843","O78H9IMT2125UK_02927","O78US_03589","O82H8Thailand_02239","O8H25Laos_03715","O9H21China_01206"
