"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"group_1748","","hypothetical protein","4","4","1","1","647","","","","206","206","206","O78H9China_05027","O78H9HPVN24_00827","O78H9IMT2125UK_00796","O78US_01559"
"group_1749","","hypothetical protein","4","4","1","1","3218","","","","1061","1061","1061","O78H9China_02078","O78H9HPVN24_01419","O78H9IMT2125UK_01441","O78US_02198"
"ycjV","","putative sugar transporter subunit: ATP-binding component of ABC superfamily protein","4","4","1","1","3214","","","","611","1082","964","O78H9China_02082","O78H9HPVN24_01415","O78H9IMT2125UK_01437","O78US_02194"
"sapD","","peptide ABC transporter SapABCDF - ATP binding subunit","4","4","1","1","3185","","","","992","992","992","O78H9China_02109","O78H9HPVN24_01387","O78H9IMT2125UK_01408","O78US_02167"
"ftsI","","essential cell division protein FtsI; penicillin-binding protein 3","4","4","1","1","3946","","","","1766","1766","1766","O78H9China_01322","O78H9HPVN24_00126","O78H9IMT2125UK_00093","O78US_00816"
"dadA","","D-amino acid dehydrogenase","4","4","1","1","812","","","","1298","1298","1298","O78H9China_04536","O78H9HPVN24_01274","O78H9IMT2125UK_01293","O78US_02055"
"ycaN","","putative transcriptional regulator LYSR-type","4","4","1","1","1079","","","","908","908","908","O78H9China_00568","O78H9HPVN24_01002","O78H9IMT2125UK_00972","O78US_01738"
"clsA","","cardiolipin synthase","4","4","1","1","750","","","","1460","1460","1460","O78H9China_02155","O78H9HPVN24_01341","O78H9IMT2125UK_01361","O78US_02121"
"exoX","","exonuclease X","4","4","1","1","3022","","","","662","662","662","O78H9China_00020","O78H9HPVN24_01917","O78H9IMT2125UK_01953","O78US_02722"
"bhsA","","outer membrane protein involved in copper permeability, stress resistance and biofilm formation","4","4","1","1","871","","","","257","257","257","O78H9China_00787","O78H9HPVN24_01218","O78H9IMT2125UK_01234","O78US_01998"
"yfiN","","putative diguanylate cyclase","4","4","1","1","2772","","","","1226","1226","1226","O78H9China_04820","O78H9HPVN24_02780","O78H9IMT2125UK_02810","O78US_03519"
"rutC","","putative aminoacrylate peracid reductase","4","4","1","1","969","","","","386","386","386","O78H9China_00681","O78H9HPVN24_01116","O78H9IMT2125UK_01126","O78US_01892"
"hisJ","","histidine ABC transporter - periplasmic binding protein","4","4","1","1","524","","","","782","782","782","O78H9China_01847","O78H9HPVN24_02455","O78H9IMT2125UK_02463","O78US_03224"
"cdsA","","CDP-diglyceride synthetase","4","4","1","1","4019","","","","749","749","749","O78H9China_01226","O78H9HPVN24_00222","O78H9IMT2125UK_00191","O78US_00912"
"rpmC","","50S ribosomal subunit protein L29","4","4","1","1","1879","","","","191","191","191","O78H9China_04724","O78H9HPVN24_03542","O78H9IMT2125UK_03615","O78US_04278"
"group_1762","","hypothetical protein","4","4","1","1","2372","","","","164","164","164","O78H9China_03274","O78H9HPVN24_03018","O78H9IMT2125UK_03109","O78US_03771"
"grxD_2","","glutaredoxin 4","4","4","1","1","1571","","","","251","251","251","O78H9China_02715","O78H9HPVN24_03854","O78H9IMT2125UK_03932","O78US_04598"
"eutN","","putative carboxysome structural protein","4","4","1","1","254","","","","287","287","287","O78H9China_02326","O78H9HPVN24_02621","O78H9IMT2125UK_02594","O78US_03352"
"ymdA","","putative protein","4","4","1","1","938","","","","311","311","311","O78H9China_00716","O78H9HPVN24_01148","O78H9IMT2125UK_01161","O78US_01927"
"yegT","","YegT MFS transporter","4","4","1","1","3543","","","","1277","1277","1277","O78H9China_00325","O78H9HPVN24_02210","O78H9IMT2125UK_02216","O78US_02982"
"ynbA","","YnbA","4","4","1","1","3271","","","","605","605","605","O78H9China_02023","O78H9HPVN24_01474","O78H9IMT2125UK_01498","O78US_02253"
"yeaG","","protein kinase","4","4","1","1","2961","","","","1934","1934","1934","O78H9China_01527","O78H9HPVN24_01853","O78H9IMT2125UK_01887","O78US_02658"
"ptsA","","fused predicted PTS enzymes: HPr component / enzyme I component / enzyme IIA component","4","4","1","1","14","","","","2501","2501","2501","O78H9China_04682","O78H9HPVN24_04214","O78H9IMT2125UK_04306","O78US_00110"
"ycjM","","putative glucosyltransferase","4","4","1","1","3205","","","","1532","1679","1642","O78H9China_02091","O78H9HPVN24_01406","O78H9IMT2125UK_01427","O78US_02185"
"dsbB","","Disulfide bond formation protein B","4","4","1","1","816","","","","530","530","530","O78H9China_04540","O78H9HPVN24_01270","O78H9IMT2125UK_01289","O78US_02051"
"hydN","","putative electron transport protein HydN","4","4","1","1","2532","","","","527","527","527","O78H9China_03847","O78H9HPVN24_02860","O78H9IMT2125UK_02944","O78US_03606"
"cyoB","","cytochrome bo terminal oxidase subunit I","4","4","1","1","4925","","","","1991","1991","1991","O78H9China_02794","O78H9HPVN24_00478","O78H9IMT2125UK_00448","O78US_01187"
"lplA","","lipoyl-protein ligase A","4","4","1","1","4327","","","","1016","1016","1016","O78H9China_01431","O78H9HPVN24_00019","O78H9IMT2125UK_04823","O78US_00708"
"cysS","","cysteinyl-tRNA synthetase","4","4","1","1","5016","","","","1385","1385","1385","O78H9China_02890","O78H9HPVN24_00574","O78H9IMT2125UK_00545","O78US_01282"
"yfeD","","putative DNA-binding transcriptional regulator","4","4","1","1","227","","","","371","371","371","O78H9China_02374","O78H9HPVN24_00791","O78H9IMT2125UK_02545","O78US_03302"
"uspD","","stress protein involved in resistance to UV irradiation","4","4","1","1","43","","","","428","428","428","O78H9China_04093","O78H9HPVN24_04186","O78H9IMT2125UK_04277","O78US_00080"
"rfaD","","ADP-L-glycero-D-mannoheptose-6-epimerase","4","4","1","1","1563","","","","932","932","932","O78H9China_02707","O78H9HPVN24_03862","O78H9IMT2125UK_03940","O78US_04606"
"yadI_1","","AgaX","4","4","1","1","3989","","","","440","440","440","O78H9China_01274","O78H9HPVN24_00174","O78H9IMT2125UK_00141","O78US_00864"
"yieK","","putative 6-phosphogluconolactonase","4","4","1","1","5234","","","","722","722","722","O78H9China_02601","O78H9HPVN24_03969","O78H9IMT2125UK_04047","O78US_04711"
"recC","","RecBCD","4","4","1","1","2418","","","","3368","3368","3368","O78H9China_03753","O78H9HPVN24_02975","O78H9IMT2125UK_03063","O78US_03725"
"adk","","adenylate kinase","4","4","1","1","4968","","","","644","644","644","O78H9China_02839","O78H9HPVN24_00523","O78H9IMT2125UK_00494","O78US_01232"
"ybgL","","putative lactam utilization protein","4","4","1","1","362","","","","734","734","734","O78H9China_04396","O78H9HPVN24_00746","O78H9IMT2125UK_00720","O78US_01483"
"cstA","","peptide transporter induced by carbon starvation","4","4","1","1","3834","","","","2105","2105","2105","O78H9China_03527","O78H9HPVN24_00636","O78H9IMT2125UK_00609","O78US_01370"
"atl","","DNA base-flipping protein","4","4","1","1","4948","","","","311","311","311","O78H9China_02818","O78H9HPVN24_00502","O78H9IMT2125UK_00472","O78US_01211"
"ylaC","","putative inner membrane protein","4","4","1","1","4951","","","","470","470","470","O78H9China_02822","O78H9HPVN24_00506","O78H9IMT2125UK_00476","O78US_01215"
"group_1786","","hypothetical protein","4","4","1","1","3570","","","","470","470","470","O78H9China_00354","O78H9HPVN24_02239","O78H9IMT2125UK_02246","O78US_03011"
"gspF_2","","putative protein secretion protein for export","4","4","1","1","1864","","","","1196","1196","1196","O78H9China_04709","O78H9HPVN24_03557","O78H9IMT2125UK_03630","O78US_04293"
"proP","","osmolyte:H+ symporter ProP","4","4","1","1","1498","","","","1502","1502","1502","O78H9China_01014","O78H9HPVN24_04441","O78H9IMT2125UK_04496","O78US_00325"
"group_1789","","hypothetical protein","4","4","1","1","2958","","","","884","884","884","O78H9China_01530","O78H9HPVN24_01850","O78H9IMT2125UK_01884","O78US_02655"
"yciK","","putative oxidoreductase","4","4","1","1","3161","","","","524","758","699","O78H9China_02134","O78H9HPVN24_01362","O78H9IMT2125UK_01383","O78US_02142"
"group_1790","","hypothetical protein","4","4","1","1","2074","","","","299","299","299","O78H9China_03095","O78H9HPVN24_03336","O78H9IMT2125UK_03406","O78US_04066"
"dkgA","","methylglyoxal reductase [multifunctional]","4","4","1","1","2174","","","","827","827","827","O78H9China_03172","O78H9HPVN24_03235","O78H9IMT2125UK_03300","O78US_03962"
"group_1792","","hypothetical protein","4","4","1","1","1538","","","","602","602","602","O78H9China_02680","O78H9HPVN24_03889","O78H9IMT2125UK_03967","O78US_04633"
"arsC","","arsenate reductase","4","4","1","1","1689","","","","425","425","425","O78H9China_02542","O78H9HPVN24_03733","O78H9IMT2125UK_03808","O78US_04469"
"tsaC","","protein involved in synthesis of threonylcarbamoyladenosine-modified tRNA","4","4","1","1","1909","","","","572","572","572","O78H9China_04755","O78H9HPVN24_03512","O78H9IMT2125UK_03584","O78US_04247"
"acpH","","acyl carrier protein phosphodiesterase","4","4","1","1","4897","","","","581","581","581","O78H9China_02767","O78H9HPVN24_00450","O78H9IMT2125UK_00421","O78US_01160"
"nlpA","","lipoprotein-28","4","4","1","1","5276","","","","818","818","818","O78H9China_02661","O78H9HPVN24_03908","O78H9IMT2125UK_03986","O78US_04652"
"udk","","uridine kinase / cytidine kinase","4","4","1","1","3514","","","","641","641","641","O78H9China_00293","O78H9HPVN24_02177","O78H9IMT2125UK_02184","O78US_02950"
"group_1798","","hypothetical protein","4","4","1","1","4775","","","","266","266","266","O78H9China_03599","O78H9HPVN24_00282","O78H9IMT2125UK_00252","O78US_00979"
"folP_1","","dihydropteroate synthase","4","4","1","1","2000","","","","848","848","848","O78H9China_03014","O78H9HPVN24_03418","O78H9IMT2125UK_03489","O78US_04146"
"ybiB","","putative transferase/phosphorylase","4","4","1","1","1201","","","","962","962","962","O78H9China_00442","O78H9HPVN24_00874","O78H9IMT2125UK_00845","O78US_01612"
"entB","","EntB monomer","4","4","1","1","3837","","","","857","857","857","O78H9China_03530","O78H9HPVN24_00633","O78H9IMT2125UK_00606","O78US_01367"
"msrA","","methionine sulfoxide reductase A","4","4","1","1","1346","","","","638","638","638","O78H9China_00891","O78H9HPVN24_04561","O78H9IMT2125UK_04624","O78US_00449"
"rplL","","50S ribosomal protein L7/L12","4","4","1","1","4108","","","","365","365","365","O78H9China_04858","O78H9HPVN24_04249","O78H9IMT2125UK_04345","O78US_00152"
"selA","","selenocysteine synthase monomer","4","4","1","1","1595","","","","1391","1391","1391","O78H9China_03988","O78H9HPVN24_03832","O78H9IMT2125UK_03908","O78US_04575"
"mreC","","longitudinal peptidoglycan synthesis/chromosome segregation-directing complex","4","4","1","1","1934","","","","1103","1103","1103","O78H9China_02946","O78H9HPVN24_03486","O78H9IMT2125UK_03557","O78US_04214"
"yjfN","","putative protein","4","4","1","1","1385","","","","275","275","275","O78H9China_00933","O78H9HPVN24_04519","O78H9IMT2125UK_04582","O78US_00407"
"group_1807","","hypothetical protein","4","4","1","1","1398","","","","197","197","197","O78H9China_00945","O78H9HPVN24_04507","O78H9IMT2125UK_04569","O78US_00395"
"mlaB","","phospholipid ABC transporter","4","4","1","1","1986","","","","293","293","293","O78H9China_02999","O78H9HPVN24_03433","O78H9IMT2125UK_03504","O78US_04161"
"ebgC","","evolved beta-D-galactosidase, beta subunit; cryptic gene","4","4","1","1","2105","","","","449","449","449","O78H9China_03247","O78H9HPVN24_03309","O78H9IMT2125UK_03374","O78US_04036"
"eutA","","reactivating factor for ethanolamine ammonia-lyase EutBC","4","4","1","1","260","","","","1061","1403","1317","O78H9China_02331","O78H9HPVN24_02616","O78H9IMT2125UK_02589","O78US_03347"
"murD","","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase","4","4","1","1","3950","","","","1316","1316","1316","O78H9China_01318","O78H9HPVN24_00130","O78H9IMT2125UK_00097","O78US_00820"
"cysG","","uroporphyrin III C-methyltransferase [multifunctional]","4","4","1","1","1821","","","","1373","1373","1373","O78H9China_02408","O78H9HPVN24_03599","O78H9IMT2125UK_03673","O78US_04335"
"recB","","RecBCD","4","4","1","1","2420","","","","3542","3542","3542","O78H9China_03751","O78H9HPVN24_02973","O78H9IMT2125UK_03061","O78US_03723"
"hyfD_1","","hydrogenase 4, component D","4","4","1","1","2605","","","","830","830","830","O78H9China_02290","O78H9HPVN24_02657","O78H9IMT2125UK_02630","O78US_03388"
"glpX","","fructose 1,6-bisphosphatase II","4","4","1","1","41","","","","1139","1139","1139","O78H9China_04091","O78H9HPVN24_04188","O78H9IMT2125UK_04279","O78US_00082"
"cbrB","","putative inner membrane protein","4","4","1","1","5236","","","","473","473","473","O78H9China_02603","O78H9HPVN24_03967","O78H9IMT2125UK_04045","O78US_04709"
"ompC","","outer membrane porin C","4","4","1","1","2844","","","","1103","1103","1103","O78H9China_01942","O78H9HPVN24_02359","O78H9IMT2125UK_02365","O78US_03129"
"group_1817","","hypothetical protein","4","4","1","1","4623","","","","1604","1604","1604","O78H9China_01638","O78H9HPVN24_01740","O78H9IMT2125UK_01774","O78US_02547"
"yehB_2","","putative outer membrane usher protein","4","4","1","1","4288","","","","596","596","596","O78H9China_01390","O78H9HPVN24_00059","O78H9IMT2125UK_00026","O78US_00749"
"yiiM","","protein involved in base analog detoxification","4","4","1","1","65","","","","674","674","674","O78H9China_04107","O78H9HPVN24_04171","O78H9IMT2125UK_04253","O78US_00065"
"nac","","Nac DNA-binding transcriptional dual regulator","4","4","1","1","3403","","","","917","917","917","O78H9China_00175","O78H9HPVN24_04749","O78H9IMT2125UK_02113","O78US_02877"
"ybdK","","carboxylate-amine ligase","4","4","1","1","3854","","","","1118","1118","1118","O78H9China_03546","O78H9HPVN24_00617","O78H9IMT2125UK_00588","O78US_01351"
"yecF","","putative protein","4","4","1","1","3090","","","","224","224","224","O78H9China_00092","O78H9HPVN24_01989","O78H9IMT2125UK_02027","O78US_02794"
"group_1823","","hypothetical protein","4","4","1","1","644","","","","407","407","407","O78H9China_05030","O78H9HPVN24_00824","O78H9IMT2125UK_00793","O78US_01556"
"ydiI","","esterase","4","4","1","1","4603","","","","410","410","410","O78H9China_01619","O78H9HPVN24_01759","O78H9IMT2125UK_01794","O78US_02567"
"fimC_2","","periplasmic chaperone, required for type 1 fimbriae","4","4","1","1","5221","","","","731","731","731","O78H9China_02588","O78H9HPVN24_03982","O78H9IMT2125UK_04060","O78US_04724"
"deoD","","purine nucleoside phosphorylase deoD-type","4","4","1","1","4329","","","","719","719","719","O78H9China_01433","O78H9HPVN24_00017","O78H9IMT2125UK_04821","O78US_00706"
"glyA","","serine hydroxymethyltransferase","4","4","1","1","2674","","","","1253","1253","1253","O78H9China_02218","O78H9HPVN24_02729","O78H9IMT2125UK_02702","O78US_03460"
"group_1828","","hypothetical protein","4","4","1","1","1918","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","290","290","290","O78H9China_02930","O78H9HPVN24_03503","O78H9IMT2125UK_03575","O78US_04230"
"erpA","","essential respiratory protein A","4","4","1","1","4037","","","","344","344","344","O78H9China_01247","O78H9HPVN24_00201","O78H9IMT2125UK_00170","O78US_00891"
"cysK","","bifunctional CysEK cysteine biosynthesis complex","4","4","1","1","287","","","","569","971","870","O78H9China_02358","O78H9HPVN24_02589","O78H9IMT2125UK_02562","O78US_03319"
"ygfT","","fused predicted oxidoreductase, Fe-S subunit and nucleotide-binding subunit","4","4","1","1","2329","","","","1919","1919","1919","O78H9China_03318","O78H9HPVN24_03062","O78H9IMT2125UK_03154","O78US_03815"
"group_1831","","hypothetical protein","4","4","1","1","1135","","","","485","485","485","O78H9China_00508","O78H9HPVN24_00940","O78H9IMT2125UK_00912","O78US_01678"
"rnt","","RNase T","4","4","1","1","4638","","","","647","647","647","O78H9China_01657","O78H9HPVN24_01721","O78H9IMT2125UK_01754","O78US_02528"
"prmB","","protein-glutamine N-methyltransferase","4","4","1","1","546","","","","932","932","932","O78H9China_01826","O78H9HPVN24_02476","O78H9IMT2125UK_02485","O78US_03245"
"ubiH","","2-octaprenyl-6-methoxyphenol hydroxylase","4","4","1","1","2308","","","","1178","1178","1178","O78H9China_03339","O78H9HPVN24_03083","O78H9IMT2125UK_03175","O78US_03836"
"ribA","","GTP cyclohydrolase II","4","4","1","1","3170","","","","590","590","590","O78H9China_02124","O78H9HPVN24_01372","O78H9IMT2125UK_01393","O78US_02152"
"yggT","","putative inner membrane protein","4","4","1","1","2261","","","","566","566","566","O78H9China_03390","O78H9HPVN24_03134","O78H9IMT2125UK_03225","O78US_03887"
"yhjY","","putative lipase","4","4","1","1","1639","","","","698","698","698","O78H9China_03942","O78H9HPVN24_03786","O78H9IMT2125UK_03861","O78US_04529"
"rhaD","","rhamnulose-1-phosphate aldolase monomer","4","4","1","1","74","","","","824","824","824","O78H9China_04115","O78H9HPVN24_04163","O78H9IMT2125UK_04244","O78US_00057"
"ybjJ","","putative transporter","4","4","1","1","1155","","","","1127","1127","1127","O78H9China_00488","O78H9HPVN24_00920","O78H9IMT2125UK_00892","O78US_01658"
"ygbJ","","putative dehydrogenase, with NAD(P)-binding Rossmann-fold domain","4","4","1","1","2505","","","","908","908","908","O78H9China_03874","O78H9HPVN24_02887","O78H9IMT2125UK_02971","O78US_03633"
"znuB","","Zn2+ ABC transporter - membrane subunit","4","4","1","1","3040","","","","785","785","785","O78H9China_00037","O78H9HPVN24_01934","O78H9IMT2125UK_01971","O78US_02739"
"ynjD","","YnjC/YnjD ABC transporter","4","4","1","1","2942","","","","653","653","653","O78H9China_01546","O78H9HPVN24_01834","O78H9IMT2125UK_01868","O78US_02639"
